id,text,video_url,iteration,created_at
7656,"Frozen Serves of Russian bank reserves and if you don't think that every single Maybe not every single but it's substantial number Nance Ministers around the world have to rethink Where are there as a secure I've had many people ask me What do I do if my assets in China What do I do with my answers in Hong Kong? There's a lot of there's a lot of western investment in Hong Kong residual. Happens if we end up in a similar disagreement or conflict are those assets subject to immediate abandonment. These are questions everybody's gonna ask whether they talk about them a lot or not. They're gonna be asked I'm not saying we'll go to 100% investment in your own country but boy the risk premium has significantly gone up. I mean, is this just a giant little sustaination of assets around the world? As you see it, given that now, governments are getting involved in a much more Way in terms of the resources that they own oversee and trade. Companies. We've had to abandon assets immediately because of a political because of a conflict. So now you have to anticipate where in the world might we not like the activities of a future regime. And you could come up with a long list of where you might be uncomfortable and you have to truly change your your wrist profile there so we're in the middle of seeing a very effective use. The weaponization of resources. Now, not everybody can weaponize the resources because they don't have ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1369,2022-09-11 00:00:30
7657,Certainty that we haven't had to deal with. Television and radio. When you think of cutting edge technology at sea you might be thinking of stuff like this. But there's an incoming revolution on the high seas that isn't quite as sexy but could be significantly more impactful. Katrina shipping is the key component of global trade about 80 or 90% of all the world's goods are transported see at some point but there's a significant unseen cost to the modern era of global commerce about three% of all the world is huge two missions Three% mean that sound like a lot But that's roughly comparable to the entire COtwo output of Germany. Since reducing trade isn't a likely option. What about a technological improvement to help reduce the emissions from these well stocked maritime behemoths? Indonesia's economy is rising fast with massive factories like these ones dominating the outskirts of Jakarta. I last met President Joco Wido or Jakoi as he's more often known in his hometown of solo but that was almost 3 years ago and a lot has changed. Yeah. Jakarta's presidential palace by convoy for a huge Hyundai factory built during COVID on three quarters of a one 1 million square meters of land ,https://www.youtube.com/watch?v=dp8PhLsUcFE,1370,2022-09-11 00:04:47
7658,"Taiwan and there is a concern that if there is a conflict in Taiwan It would spill over into the South China Sea Where you have territory, territory that China contests is Indonesia ready to defend All defendants And waters in that case. So you ready for that? Conflict militarily if it happens Yeah We do want the region to be peaceful it shouldn't come to the point the tensions rise until it affects economic growth and then later on affects the well being of our people In my opinion, it is very important that there is a space for dialogue between leaders, especially leaders of big countries. The global situation is extremely difficult and there shouldn't be further unnecessary issues we are going through a food crisis and an energy crisis that hasn't been resolved the pandemic still exists since some countries Is that going to be a big theme for you at the G 20 Want to turn the debate away from these Between superpowers And focus on issues like food security Inflation. Yellow people Yes it is better than having open conflict it is better to have a forum for dialogue like G 20 If there are space for discussion we can discuss and have debates and hopefully come up with solutions this is what we want this is why we have a space for dialogue I know that you have invited President Xi Jinping to come to the G 20 ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1371,2022-09-11 00:09:12
7659,I want to come and talk about other things. They need to renew their approach. You've dealt with Donald Trump who famously insulted his allies and promoted America first Joe Biden was supposed to be different but rhetoric aside There any change Shorty Joe Biden is still saying America first he just isn't insulting you at Time. Indonesia wants to be friends with everyone with any country we don't have problems with any country each country will have their own approach each leader has their own style and approach so there shouldn't be a problem but now what's needed by Indonesia is investment technology that will change our I just To ask you about Azian since you mention You have a group of countries But it is one where you look at the It includes Myanmar At which seems to have all these problems with human rights and so on Why do you keep me on my in Asian? The implementation hasn't taken place and the approach we have taken Hasn't worked that's the complication we're facing there are several ozzie on meetings after that which we did not include me and my participation You've been to go and see Vladimir Putin. ,https://www.youtube.com/watch?v=dp8PhLsUcFE,1372,2022-09-11 00:13:27
7660,"We have the technology. We have the lasers. We have the climbers. We have all of it. Private entity wants to build it. Or a government They can build it. It'll change society. We have no clue how colonizing in the space. How really spreading on this face. Really change our society over the next 50 toe. 200 years. It'll be completely different. Indonesia is an extremely resource rich country and the economies potential is enormous. It has a third of the world's nickel reserves used in the lithium batteries of electric vehicles. It's the world's biggest grower of palm oil, And largest minor of tin the third biggest producer of coal and ranks fifth for box site It's grassberg mine has won the largest reserves of gold and copper. Resource nationalism is nothing new but Indonesia's two-term president is doubling down. After banning the export of raw nickel he's now planning the same path for all the others. Jakoi is moving downstream creating higher value products who will be used in everything from aircraft to semiconductors to touchscreens and the batteries in electric vehicles Did that again? ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1373,2022-09-11 00:17:50
7661,"If you could Give us any news on that. Is that any closer? Some more adele, more police strict. If it is Tesla, we want them to build electric cars in Indonesia. From Ford as well. We want them to build the electric cars here. From Hyundai Electric Cars, from car makers in Japan, Toyota, and Suzuki. We want a huge ecosystem of electric cars for the world. We don't just want to reach batteries only because this is just half of it. Elon Musk is a famously reasonable man Why is he said no to the car factory then It's still in discussion let's see later the final result. You have you have negotiated with Gijin Ping and Vladimir Putin Either of them as difficult to deal with as Elon Musk. Yeah, some Everything needs time. I don't want to go quick with no result. It needs an intense communication and the result will show. I said yeah Do you think there has been an element though again looking around here that it has been tends to be the Asian countries which have First into Trying to trying to build electric Battery facilities here Ecosystem ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1374,2022-09-11 00:22:08
7662,"Admissions to Mars we are going to have to learn to live and work off world in a different way The place where we are going to learn to do that is on the moon. Can Isa help humanity take its next giant leap You will put a woman on Mars. You will bring forth global cooling. You will be the first chief crypto officer. Because when you subscribe to Bloom Birth you won't just get news. Insight into limitless possibilities, knowledge, and inspiration to feed your ambition. So before you invent pioneer, disrupt, before you change the world, Bloomberg. Innovation, money, and power collide in Silicon Valley and beyond. Weekdays at 5 PM in New York and 2 PM in San Francisco Consistent thing you you've been talking about is green industries and the environment To make Indonesia carbon neutral by 2060. As you know most of your energy now ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1375,2022-09-11 00:26:26
7663,Much poorer people who have not done this yet And we come in lecture you about this. The Adelaide Forest clearing is in the past no more today what we have now is restoration revitalizing taking care of the environment i have required all mining companies to build a nursery for reclamation of their mining areas we are working to improve the environment I can take you to the nearest nursery center in begore that produce about two 1 million seedlings a year and we will have 30 of those nurseries then you will believe that we are serious This capitol You are building. Four 1 billion dollars. The aim is to finish it by 2045. This would be the new capital of Jakarta in Bourneo I wondered will you finish the first stage? In August 2024 are you on time in terms of that? But I've been daniel Responsibility to put the policy in place but we still check the feasibility studies. It will need funding of 33 1 billion dollars and we will use state budget to cover for 20% while the rest 80% from private sector from investment. And this isn't just for 2 years. It's for 20 years. Confident with a good concept and with good returns for the investments I am sure many investors will come in. You know that many people in Indonesia look at problems look at Building new Santara that will happen After you are ,https://www.youtube.com/watch?v=dp8PhLsUcFE,1376,2022-09-11 00:30:58
7664,"Talking about that all day yesterday. The global appetite for data is growing faster than ever and no matter what statistics you use to describe it big data is big business 50 1 billion devices would be connected by 2025 and more than 175 zebras of it will be created Month. Now we're talking about zettabites. It's a near And companies just don't know how to make image and secure all this new information. There's also a growth in a nature and location of data as well, you know, expanding beyond structure dated unstructured data. We're looking at 500 plus one 1 billion in revenue. ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1377,2022-09-11 00:35:14
7665,"Your heart functioning. We have to be there providing the information that allows us to continue to create value for our shareholders and making sure that our customers get what they want. In 2015 the human packer corporation split into two separate H P Inc primarily makes devices from desktop and laptop computers to printers, tablets, and Enterprise or HPE provides information technology solutions in 2019 CEO Antonio Mary announced that the company would pivot from a focus on servers and on site Systems to it's cloud software as a service platform Greenlake HPE calls it a hybrid cloud platform not just storing data in the cloud but managing it across 10 1000 locations. When I became oh in 2018 I said that the enterprise of the future will be edge centric meaning where we live where we work. Enable in data driven. And one of the things that we saw through the pandemic is that the enterprise became way more distributed. People working everywhere. And at the same time, data became the most important. I said the custom half. Explain for a second the difference between the edge there. Why that is sort of more useful and the idea of a more centralized sort of cloud system that I thought a lot of companies at least at one point were embracing. ",https://www.youtube.com/watch?v=dp8PhLsUcFE,1378,2022-09-11 00:39:29
